"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen"
"Tony","Newborg","","974","2024 Honda Civic Type R","P-BS","57.897","47.359","15","106","118","","149.771","RERUN","102.705","","57.897","","59.091",""
"Nathan","Medjanyk","","67"," Ford Fiesta ST","SM","57.897","50.254","2","113","119","","61.325","","55.897","1"
"Kaila","Howard","","910","2015 Ford Mustang","CAMC","58.652","48.446","7","109","120","","73.645","","24.791","RERUN","22.093","RERUN","65.835","DNF","58.652",""
"Cole","Cherveny","","323","1999 Mazda Miata","XB","59.943","50.891","3","114","121","","70.654","DNF","59.943","","62.615",""
"Cody","Greene","","900","1999 Mazda Miata","Z-ES","60.134","47.626","13","107","122","","68.274","DNF","55.492","DNF","60.134",""
"Benjamin","Lynch","","428","2016 Volkswagen GTI","N","60.842","60.842","9","125","123","","64.446","","63.817","","60.842",""
"Michael","Weiss","","151","2006 Pontiac solstice","N","64.038","64.038","10","126","124","","70.549","","64.038","","82.237","DNF"
"Kenyon","Barnette","","356","2015 BMW 328i Silver","N","65.789","65.789","11","127","125","","55.594","DNF","54.295","DNF","65.789",""
"Steve","Truax","","347"," Ford Ranchero","N","66.809","66.809","12","128","126","","55.789","DNF","85.005","","66.809",""
"Dennis","OMeara","","611","2019 Chevrolet Corvette Grand Sport","AS","68.958","56.821","5","123","127","","55.994","DNF","80.82","2","68.958",""
"Thomas","Haider","","104","2022 Ford Shelby GT 500","CAMC","69.757","57.619","8","124","128","","69.757","","72.492","","78.966","DNF"
"Steve","Garnjobst","","75","1998 Ford Mustang GT Black","INVALID:P","-","-","-","-","-",""
"Gavyn","Gill","","223","2019 Mazda Miata Red","STR","-","-","-","-","-",""
"Skye","Gill","","224","2011 Honda CRZ Black","STS","-","-","-","-","-",""
"Nathan","Thimmesch","","145","1995 Mazda Miata Black","N","-","-","-","-","-",""
"Andrew","Deck","","6","2005 Mazda RX8 Grey","INVALID:Z","-","-","-","-","-",""
"Riley","Gehrman","","480","1996 Subaru Impreza Coupe","XB","-","-","-","-","-",""
"Chase","Korth","","930","2020 Mazda MX-5 RF Red","N","-","-","-","-","-",""
"Brent","Lucio","","537","1996 Mazda Miata ","ES","-","-","-","-","-",""
"Tim","Malzahn","","475","2017 Honda Civic Type-R Black","INVALID:Z","-","-","-","-","-",""
"Alira","Moreau","","600","2008 Honda S2000 CR ","STR","-","-","-","-","-",""
"Max","Currie","","788","1980 Porsche 911sc Red","XB","-","-","-","-","-",""
"Dan","Nielsen","411","411","1988 Chevrolet corvette white","XP","-","-","-","-","-",""
"Dominick","Dunn","","907","2007 Mini Cooper s","X","DNF","-","-","-","-","","50.278","DNF","49.794","DNF","49.374","DNF"
"Kim","John  Crumb","","282","2021 Porsche Cayman GTS ","SS","-","-","-","-","-",""
"Anthony","Wolfe","227","227","2002 Chevrolet Corvette Zo6","CAMS","DNF","-","-","-","-","","51.365","DNF","64.198","DNF","62.077","DNF"
"Courtney","Sampson","","315","2015 Dodge Challenger hellcat Sublime","INVALID:CAM-C","-","-","-","-","-",""
"Colin","Sargent","","580","2002 Honda S2000 Silver","SS","-","-","-","-","-",""
"Bryan","Blumenschein","","155","2007 Mazda MX-5 Black","INVALID:Z","-","-","-","-","-",""
"Cory","Smith","","777","2004 Mazda RX-8 ","STX","-","-","-","-","-",""
"Patrick","Olheiser","","299","2004 Chevrolet corvette red","STU","-","-","-","-","-",""
"Alex","Summers","","60","2010 Volkswagen GTI Grey","SM","-","-","-","-","-",""
"Jessica","Kloss","","724","2008 Infiniti M45x Tan/gold","N","-","-","-","-","-",""
"Will","Schafer","","24","2019 Fiat 124 Spider Abarth","CS","DNF","-","-","-","-","","52.326","DNF","48.56","DNF","54.804","DNF"
"Tianna","nelson Tianna nelson","","767","2014 Dodge Charger Autumnfireburgo","INVALID:CAM-C","-","-","-","-","-",""
